00:01:24 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:38 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:49 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:50 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:51 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:51 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:52 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:53 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:53 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:54 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:55 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:55 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:56 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:56 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:56 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:57 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:57 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:58 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:59 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:02:59 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:03:00 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:03:00 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:03:28 15/12/2023: Unknown column 'p_CodeModel' in 'field list'
00:44:30 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:44:33 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:44:35 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:44:38 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:45:04 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:45:06 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:45:09 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:45:11 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:45:14 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:45:16 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:45:18 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:45:20 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:45:23 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:45:25 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:58:00 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:58:03 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:58:05 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:58:08 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
00:58:10 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:01:27 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:01:29 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:01:32 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:01:34 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:01:36 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:04:57 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:04:59 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:05:01 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:05:03 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:07:12 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:07:14 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:07:16 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:07:19 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
01:07:21 15/12/2023: No connection could be made because the target machine actively refused it 192.168.3.231:5555
